site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj,days30_logger,days30_mur_raw,days30_mur_corr,bleaching_binary,dhw_coraltemp_raw,dhw_coraltemp_corr,days30_coraltemp_raw,days30_coraltemp_corr,lat_band
1,5,2020,2020-10-26,0.0,閉鎖系,30.457658,,,,,,,,0,,,,,30-35°N (本州)
1,5,2021,2021-10-07,0.0,閉鎖系,30.457658,0.8885437788018484,0.3014285714285688,0.0185714285714279,0.3014285714285688,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,30-35°N (本州)
1,5,2022,2022-12-03,10.0,閉鎖系,30.457658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,30-35°N (本州)
1,5,2023,2023-10-19,0.0,閉鎖系,30.457658,2.7948264208909497,1.6099999999999943,0.6071428571428521,1.6099999999999943,0.0,0.0,0.0,0,0.22714285714285407,0.22714285714285407,0.0,0.0,30-35°N (本州)
1,5,2024,2024-10-15,90.0,閉鎖系,30.457658,,,,,,,,1,,,,,30-35°N (本州)
3,11,2020,2020-09-09,50.0,中間系,28.292611,2.74285714285714,4.026175115207378,3.6360368663594542,5.169032258064527,8.0,20.0,20.0,1,1.8554838709677408,1.8554838709677537,8.0,4.0,28-30°N (奄美)
3,11,2021,2021-12-29,0.0,中間系,28.292611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28-30°N (奄美)
3,11,2022,2022-10-03,80.0,中間系,28.292611,3.883129032258062,2.998940092165902,2.470645161290327,3.741797235023049,15.0,16.0,16.0,1,3.2554193548387076,3.255419354838724,24.0,14.0,28-30°N (奄美)
3,11,2023,2023-10-29,0.0,中間系,28.292611,0.0160691244239633,0.0003686635944702,0.0,0.0003686635944702,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28-30°N (奄美)
3,11,2024,2024-12-01,90.0,中間系,28.292611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,28-30°N (奄美)
3,13,2020,2020-09-25,0.0,中間系,28.188778,2.2427078341013726,3.4328571428571513,2.615668202764984,3.890000000000011,0.0,8.0,8.0,0,1.4349677419354794,1.4349677419354907,1.0,0.0,28-30°N (奄美)
3,13,2021,2021-10-04,0.0,中間系,28.188778,0.0142082949308748,0.0181105990783412,0.0,0.0181105990783412,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28-30°N (奄美)
3,13,2022,2022-09-28,20.0,中間系,28.188778,3.8109603686635736,3.244377880184342,1.982396313364062,3.4158064516129145,0.0,3.0,3.0,1,3.1214746543778733,3.121474654377891,5.0,1.0,28-30°N (奄美)
3,13,2023,2023-09-14,0.0,中間系,28.188778,0.1165327188940088,0.0,0.0,0.0,0.0,0.0,0.0,0,0.028534562211980585,0.02853456221198211,0.0,0.0,28-30°N (奄美)
3,13,2024,2024-11-05,50.0,中間系,28.188778,0.6228331797234995,0.206267281105992,0.0405069124423965,0.206267281105992,0.0,14.0,14.0,1,0.2613548387096764,0.26135483870967946,19.0,18.0,28-30°N (奄美)
4,3,2020,2020-09-27,0.5,外洋系,26.085917,1.5876021699819194,1.7150138248848017,0.9436036866359484,1.8435852534562305,4.0,3.0,3.0,0,0.8049585253456156,0.8049585253456242,1.0,1.0,26-28°N (沖縄本島)
4,3,2021,2021-11-16,0.0,外洋系,26.085917,0.508312839059677,0.0919723502304162,0.0,0.0919723502304162,0.0,0.0,0.0,0,0.027345622119814346,0.02734562211981587,0.0,0.0,26-28°N (沖縄本島)
4,3,2022,2022-12-27,10.0,外洋系,26.085917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
4,3,2023,2023-09-12,0.0,外洋系,26.085917,0.9576419529837292,1.0933640552995476,0.2702027649769606,1.0933640552995476,0.0,0.0,0.0,0,0.8476774193548319,0.8476774193548431,0.0,0.0,26-28°N (沖縄本島)
4,3,2024,2024-10-07,80.0,外洋系,26.085917,7.156314647377948,6.019705069124441,5.231815668202777,7.13399078341016,39.0,41.0,41.0,1,5.490728110599062,5.490728110599085,48.0,40.0,26-28°N (沖縄本島)
4,15,2020,2021-01-11,0.0,外洋系,26.384111,,,,,,,,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
4,15,2021,2021-09-20,0.0,外洋系,26.384111,0.1645608465608461,0.2255026455026479,0.094179894179895,0.2683597883597909,1.0,1.0,1.0,0,0.12536155202821778,0.12536155202822133,0.0,0.0,26-28°N (沖縄本島)
4,15,2022,2023-01-20,0.0,外洋系,26.384111,,,,,,,,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
4,15,2023,2023-12-06,0.0,外洋系,26.384111,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
4,15,2024,2024-10-19,70.0,外洋系,26.384111,2.3270740740740723,1.8411287477954248,1.7816754850088274,2.655414462081141,36.0,38.0,38.0,1,2.2747619047619,2.2747619047619136,42.0,35.0,26-28°N (沖縄本島)
4,26,2023,2023-11-16,0.0,外洋系,26.865694,1.027798156682028,0.3053640552995392,0.071041474654378,0.3053640552995337,0.0,0.0,0.0,0,0.3772903225806467,0.37729032258064116,0.0,0.0,26-28°N (沖縄本島)
4,26,2024,2024-11-17,20.0,外洋系,26.865694,0.5211447004608313,0.3231244239631335,0.0212350230414745,0.3231244239631274,7.0,9.0,9.0,1,0.0,0.0,15.0,10.0,26-28°N (沖縄本島)
5,14,2020,2020-11-07,0.0,外洋系,26.438639,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
5,14,2021,2021-10-09,0.0,外洋系,26.438639,0.2802004608294943,0.2369585253456289,0.0277880184331818,0.2369585253456248,0.0,0.0,0.0,0,0.09456221198156811,0.09456221198156811,0.0,0.0,26-28°N (沖縄本島)
5,14,2022,2022-10-22,0.0,外洋系,26.438639,0.6319527649769593,0.6098156682027722,0.4305529953917109,0.738387096774197,8.0,17.0,17.0,0,0.5932718894009236,0.5932718894009236,23.0,12.0,26-28°N (沖縄本島)
5,14,2023,2023-09-05,0.0,外洋系,26.438639,,,,,,,,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
5,14,2024,2024-09-11,80.0,外洋系,26.438639,6.726985023041484,4.918156682027692,4.2776958525345945,6.1610138248848125,26.0,35.0,35.0,1,6.241013824884807,6.241013824884807,52.0,40.0,26-28°N (沖縄本島)
5,29,2020,2020-09-29,0.0,外洋系,26.715278,1.10918986175115,1.9963502304147305,1.2876405529953776,2.2106359447004453,0.0,5.0,5.0,0,0.758801843317973,0.7588018433179806,0.0,0.0,26-28°N (沖縄本島)
5,29,2021,2021-10-16,0.0,外洋系,26.715278,0.4921557603686603,0.3803041474654302,0.0944239631336368,0.3803041474654302,0.0,0.0,0.0,0,0.1853456221198151,0.18534562211981864,0.0,0.0,26-28°N (沖縄本島)
5,29,2022,2022-10-09,3.0,外洋系,26.715278,3.1486451612903195,2.4377511520737194,1.760580645161276,2.694894009216577,9.0,8.0,8.0,0,2.7946082949308746,2.7946082949308853,15.0,11.0,26-28°N (沖縄本島)
5,29,2023,2023-09-18,0.0,外洋系,26.715278,0.6059723502304121,0.5661290322580557,0.1844516129032218,0.5661290322580557,1.0,0.0,0.0,0,0.3768663594470044,0.376866359447011,0.0,0.0,26-28°N (沖縄本島)
5,29,2024,2024-09-22,80.0,外洋系,26.715278,8.659167741935475,6.517179723502272,5.405474654377852,7.50289400921656,18.0,33.0,33.0,1,6.717926267281107,6.7179262672811335,41.0,29.0,26-28°N (沖縄本島)
6,5,2020,2020-10-28,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
6,5,2021,2021-12-12,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
6,5,2022,2022-11-13,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0,10.0,4.0,4.0,0,0.0,0.0,12.0,9.0,26-28°N (沖縄本島)
6,5,2023,2023-09-09,0.0,外洋系,26.734722,1.2257188940092132,0.6834101382488507,0.2094377880184344,0.6834101382488507,0.0,0.0,0.0,0,0.8400552995391725,0.8400552995391841,0.0,0.0,26-28°N (沖縄本島)
6,5,2024,2024-09-02,90.0,外洋系,26.734722,8.053124423963128,7.74295852534563,6.6034562211981624,9.028672811059918,20.0,32.0,32.0,1,7.917963133640558,7.917963133640588,40.0,33.0,26-28°N (沖縄本島)
7,5,2020,2020-11-07,0.0,中間系,26.202194,0.0026409523809515,0.0,0.0,0.0,0.0,3.0,3.0,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
7,5,2021,2021-10-31,0.0,中間系,26.202194,0.5970390476190361,0.4731336405529924,0.1164055299539137,0.4731336405529924,0.0,0.0,0.0,0,0.3688110599078383,0.36881105990783275,0.0,0.0,26-28°N (沖縄本島)
7,5,2022,2022-11-13,0.0,中間系,26.202194,0.0810619047619022,0.0,0.0,0.0,4.0,5.0,5.0,0,0.0,0.0,13.0,10.0,26-28°N (沖縄本島)
7,5,2023,2023-11-19,0.0,中間系,26.202194,0.4587028571428528,0.3311981566820243,0.0458064516129016,0.3311981566820243,0.0,0.0,0.0,0,0.17987096774193848,0.17987096774193542,0.0,0.0,26-28°N (沖縄本島)
7,5,2024,2024-10-18,10.0,中間系,26.202194,3.43078857142855,2.6258064516128896,1.5655299539170389,2.797235023041462,8.0,23.0,23.0,0,2.573705069124437,2.5737050691244234,36.0,27.0,26-28°N (沖縄本島)
7,8,2020,2020-09-19,0.0,中間系,26.1865,1.6583253456221172,2.0640092165898674,1.1369769585253486,2.2354377880184244,0.0,3.0,3.0,0,0.9960645161290199,0.9960645161290336,0.0,0.0,26-28°N (沖縄本島)
7,8,2021,2021-11-05,0.0,中間系,26.1865,0.2899668202764976,0.2413917050691257,0.0899723502304153,0.2413917050691237,0.0,0.0,0.0,0,0.1545622119815643,0.15456221198156683,0.0,0.0,26-28°N (沖縄本島)
7,8,2022,2022-11-04,0.0,中間系,26.1865,0.0708423963133633,0.0,0.0,0.0,4.0,4.0,4.0,0,0.0,0.0,14.0,9.0,26-28°N (沖縄本島)
7,8,2023,2023-11-20,0.0,中間系,26.1865,0.2332709677419358,0.2627926267281114,0.0371152073732718,0.2627926267281079,0.0,0.0,0.0,0,0.12936405529953734,0.12936405529953937,0.0,0.0,26-28°N (沖縄本島)
7,8,2024,2024-10-18,30.0,中間系,26.1865,4.515002764976955,2.7539723502304234,1.6869124423963184,2.9254009216589787,19.0,23.0,23.0,1,2.8969769585253338,2.896976958525348,35.0,25.0,26-28°N (沖縄本島)
9,1,2020,2020-11-22,0.0,閉鎖系,24.941528,,,,,,,,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,1,2021,2021-11-06,0.0,閉鎖系,24.941528,0.0289550691244236,0.0461059907834103,0.0,0.0461059907834103,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,1,2022,2022-12-27,10.0,閉鎖系,24.941528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,1,2023,2023-11-05,0.0,閉鎖系,24.941528,0.0,0.0845506912442393,0.0,0.0845506912442393,2.0,1.0,1.0,0,0.0,0.0,3.0,0.0,24-26°N (八重山)
9,1,2024,2024-12-01,70.0,閉鎖系,24.941528,0.0,0.0080529953917048,0.0,0.0080529953917048,13.0,8.0,8.0,1,0.0,0.0,14.0,11.0,24-26°N (八重山)
9,3,2020,2020-09-19,,外洋系,24.9005,0.3317315668202743,0.1714746543778729,0.1714746543778729,0.6420506912442383,48.0,18.0,18.0,0,0.03811059907834239,0.03811059907834036,4.0,0.0,24-26°N (八重山)
9,3,2021,2022-01-15,0.0,外洋系,24.9005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,3,2022,2023-01-11,90.0,外洋系,24.9005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,3,2023,2023-11-23,0.0,外洋系,24.9005,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0,0.0,0.0,2.0,0.0,24-26°N (八重山)
9,3,2024,2024-12-02,60.0,外洋系,24.9005,0.0,0.0,0.0,0.0,17.0,10.0,10.0,1,0.0,0.0,13.0,10.0,24-26°N (八重山)
9,5,2020,2020-10-04,10.0,外洋系,24.797806,0.6738184331797241,0.852479262672804,0.7706635944700412,1.3667649769585293,23.0,21.0,21.0,0,0.2859170506912453,0.2859170506912382,6.0,1.0,24-26°N (八重山)
9,5,2021,2021-12-29,0.0,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,5,2022,2023-01-10,,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,5,2023,2024-01-06,0.0,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,5,2024,2025-01-19,60.0,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2020,2020-10-04,0.0,外洋系,24.719444,0.7525023041474783,0.9426820276497828,0.6990322580645228,1.371253456221223,30.0,27.0,27.0,0,0.3340829493087552,0.3340829493087623,4.0,1.0,24-26°N (八重山)
9,6,2021,2021-12-29,0.0,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2022,2023-01-10,,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2023,2024-01-06,0.0,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2024,2025-01-19,70.0,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,9,2020,2020-09-19,,外洋系,24.841083,0.9921474654377864,0.5215207373271937,0.4677572964669763,0.8215207373271944,9.0,13.0,13.0,0,0.31345622119816446,0.3134562211981553,3.0,0.0,24-26°N (八重山)
9,9,2022,2022-12-27,40.0,外洋系,24.841083,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,9,2023,2023-11-05,0.0,外洋系,24.841083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,24-26°N (八重山)
9,9,2024,2024-12-01,,外洋系,24.841083,0.0,0.0,0.0,0.0,13.0,10.0,10.0,0,0.0,0.0,14.0,9.0,24-26°N (八重山)
10,2,2020,2020-11-22,0.0,外洋系,25.016917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,2,2021,2021-10-16,0.0,外洋系,25.016917,0.0390506912442388,0.1075115207373278,0.0410138248847928,0.1503686635944708,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,2,2022,2022-12-28,20.0,外洋系,25.016917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,2,2023,2023-11-23,0.0,外洋系,25.016917,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,7.0,0.0,24-26°N (八重山)
10,2,2024,2024-12-02,50.0,外洋系,25.016917,0.0,0.0,0.0,0.0,14.0,7.0,7.0,1,0.0,0.0,13.0,9.0,24-26°N (八重山)
10,3,2020,2020-11-22,0.0,外洋系,24.996944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2021,2021-10-16,0.0,外洋系,24.996944,0.0,0.0195852534562216,0.0195852534562216,0.0624423963133646,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2022,2022-12-28,,外洋系,24.996944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2023,2023-11-23,0.0,外洋系,24.996944,,,,,,,,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2024,2024-12-02,90.0,外洋系,24.996944,0.0,0.003870967741936,0.0,0.003870967741936,14.0,7.0,7.0,1,0.0,0.0,13.0,9.0,24-26°N (八重山)
11,19,2020,2020-11-22,0.0,閉鎖系,24.515917,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
11,19,2021,2021-09-24,0.0,閉鎖系,24.515917,0.8566138248848009,0.3901382488479231,1.0449677419354788,1.5901382488479296,38.0,12.0,12.0,0,0.028894009216589467,0.028894009216592003,0.0,0.0,24-26°N (八重山)
11,19,2022,2022-11-12,,閉鎖系,24.515917,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0,0.0,0.0,19.0,18.0,24-26°N (八重山)
11,19,2023,2023-09-07,0.0,閉鎖系,24.515917,0.576843317972358,0.7164884792626692,1.7281658986175046,2.5164884792626787,21.0,18.0,18.0,0,0.13391705069124374,0.13391705069124984,5.0,0.0,24-26°N (八重山)
11,19,2024,2025-01-07,,閉鎖系,24.515917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
12,3,2020,2020-11-06,0.0,閉鎖系,24.583722,0.0,0.0935023041474641,0.2013824884792612,0.2935023041474639,12.0,5.0,5.0,0,0.0,0.0,7.0,1.0,24-26°N (八重山)
12,3,2021,2021-09-08,0.0,閉鎖系,24.583722,0.1655917050691242,0.2212442396313331,0.611981566820272,0.9212442396313324,32.0,13.0,13.0,0,0.021944700460830444,0.021944700460828415,0.0,0.0,24-26°N (八重山)
12,3,2022,2022-10-09,60.0,閉鎖系,24.583722,2.081805529953914,1.91525345622119,2.990276497695841,3.815253456221188,52.0,52.0,52.0,1,1.9410230414746599,1.9410230414746503,51.0,47.0,24-26°N (八重山)
12,3,2023,2023-11-22,0.0,閉鎖系,24.583722,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0,0.0,0.0,4.0,0.0,24-26°N (八重山)
12,3,2024,2025-01-05,0.0,閉鎖系,24.583722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
12,23,2020,2020-11-15,0.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0,0.0,0.0,3.0,1.0,24-26°N (八重山)
12,23,2021,2021-09-09,0.0,閉鎖系,24.47275,0.5982983870967732,0.092142857142856,0.4342857142857116,0.6914285714285724,51.0,10.0,10.0,0,0.0,0.0,3.0,0.0,24-26°N (八重山)
12,23,2022,2022-11-10,5.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0,21.0,21.0,21.0,0,0.0,0.0,21.0,20.0,24-26°N (八重山)
12,23,2023,2023-10-16,0.0,閉鎖系,24.47275,,,,,,,,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
12,23,2024,2024-12-06,0.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0,19.0,12.0,12.0,0,0.0,0.0,15.0,9.0,24-26°N (八重山)
