site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj
1,5,2020,2020-10-26,0.0,閉鎖系,30.457658,,,,
1,5,2021,2021-10-07,0.0,閉鎖系,30.457658,0.8885437788018484,0.3014285714285688,0.018571428571427923,0.3014285714285688
1,5,2022,2022-12-03,10.0,閉鎖系,30.457658,0.0,0.0,0.0,0.0
1,5,2023,2023-10-19,0.0,閉鎖系,30.457658,2.7948264208909497,1.6099999999999943,0.6071428571428521,1.6099999999999943
1,5,2024,2024-10-15,90.0,閉鎖系,30.457658,,,,
3,11,2020,2020-09-09,50.0,中間系,28.292611,2.74285714285714,4.026175115207378,3.6360368663594542,5.169032258064527
3,11,2021,2021-12-29,0.0,中間系,28.292611,0.0,0.0,0.0,0.0
3,11,2022,2022-10-03,80.0,中間系,28.292611,3.883129032258062,2.998940092165902,2.470645161290327,3.741797235023049
3,11,2023,2023-10-29,0.0,中間系,28.292611,0.016069124423963337,0.0003686635944702183,0.0,0.0003686635944702183
3,11,2024,2024-12-01,90.0,中間系,28.292611,0.0,0.0,0.0,0.0
3,13,2020,2020-09-25,0.0,中間系,28.188778,2.2427078341013726,3.4328571428571513,2.615668202764984,3.890000000000011
3,13,2021,2021-10-04,0.0,中間系,28.188778,0.014208294930874896,0.01811059907834129,0.0,0.01811059907834129
3,13,2022,2022-09-28,20.0,中間系,28.188778,3.8109603686635736,3.244377880184342,1.982396313364062,3.4158064516129145
3,13,2023,2023-09-14,0.0,中間系,28.188778,0.11653271889400887,0.0,0.0,0.0
3,13,2024,2024-11-05,50.0,中間系,28.188778,0.6228331797234995,0.206267281105992,0.04050691244239652,0.206267281105992
4,3,2020,2020-09-27,0.5,外洋系,26.085917,1.5876021699819194,1.7150138248848015,0.9436036866359484,1.8435852534562305
4,3,2021,2021-11-16,0.0,外洋系,26.085917,0.508312839059677,0.09197235023041626,0.0,0.09197235023041626
4,3,2022,2022-12-27,10.0,外洋系,26.085917,0.0,0.0,0.0,0.0
4,3,2023,2023-09-12,0.0,外洋系,26.085917,0.9576419529837291,1.0933640552995476,0.27020276497696066,1.0933640552995476
4,3,2024,2024-10-07,80.0,外洋系,26.085917,7.156314647377948,6.019705069124441,5.231815668202777,7.13399078341016
4,15,2020,2021-01-11,0.0,外洋系,26.384111,,,,
4,15,2021,2021-09-20,0.0,外洋系,26.384111,0.16456084656084613,0.22550264550264792,0.09417989417989503,0.2683597883597909
4,15,2022,2023-01-20,0.0,外洋系,26.384111,,,,
4,15,2023,2023-12-06,0.0,外洋系,26.384111,0.0,0.0,0.0,0.0
4,15,2024,2024-10-19,70.0,外洋系,26.384111,2.3270740740740723,1.8411287477954248,1.7816754850088274,2.655414462081141
4,26,2023,2023-11-16,0.0,外洋系,26.865694,1.027798156682028,0.30536405529953925,0.07104147465437803,0.3053640552995337
4,26,2024,2024-11-17,20.0,外洋系,26.865694,0.5211447004608313,0.3231244239631335,0.021235023041474527,0.3231244239631274
5,14,2020,2020-11-07,0.0,外洋系,26.438639,0.0,0.0,0.0,0.0
5,14,2021,2021-10-09,0.0,外洋系,26.438639,0.28020046082949435,0.23695852534562892,0.027788018433181856,0.23695852534562484
5,14,2022,2022-10-22,0.0,外洋系,26.438639,0.6319527649769593,0.6098156682027722,0.4305529953917109,0.738387096774197
5,14,2023,2023-09-05,0.0,外洋系,26.438639,,,,
5,14,2024,2024-09-11,80.0,外洋系,26.438639,6.726985023041484,4.918156682027692,4.2776958525345945,6.1610138248848125
5,29,2020,2020-09-29,0.0,外洋系,26.715278,1.10918986175115,1.9963502304147305,1.2876405529953776,2.2106359447004453
5,29,2021,2021-10-16,0.0,外洋系,26.715278,0.4921557603686603,0.38030414746543023,0.09442396313363689,0.38030414746543023
5,29,2022,2022-10-09,3.0,外洋系,26.715278,3.1486451612903195,2.4377511520737194,1.760580645161276,2.694894009216577
5,29,2023,2023-09-18,0.0,外洋系,26.715278,0.6059723502304121,0.5661290322580557,0.1844516129032218,0.5661290322580557
5,29,2024,2024-09-22,80.0,外洋系,26.715278,8.659167741935475,6.517179723502272,5.405474654377852,7.5028940092165595
6,5,2020,2020-10-28,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0
6,5,2021,2021-12-12,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0
6,5,2022,2022-11-13,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0
6,5,2023,2023-09-09,0.0,外洋系,26.734722,1.2257188940092132,0.6834101382488507,0.20943778801843443,0.6834101382488507
6,5,2024,2024-09-02,90.0,外洋系,26.734722,8.053124423963128,7.74295852534563,6.6034562211981624,9.028672811059918
7,5,2020,2020-11-07,0.0,中間系,26.202194,0.0026409523809515383,0.0,0.0,0.0
7,5,2021,2021-10-31,0.0,中間系,26.202194,0.5970390476190361,0.4731336405529924,0.1164055299539137,0.4731336405529924
7,5,2022,2022-11-13,0.0,中間系,26.202194,0.08106190476190227,0.0,0.0,0.0
7,5,2023,2023-11-19,0.0,中間系,26.202194,0.4587028571428528,0.33119815668202435,0.04580645161290166,0.33119815668202435
7,5,2024,2024-10-18,10.0,中間系,26.202194,3.43078857142855,2.6258064516128896,1.5655299539170389,2.797235023041462
7,8,2020,2020-09-19,0.0,中間系,26.1865,1.6583253456221172,2.0640092165898674,1.1369769585253486,2.2354377880184244
7,8,2021,2021-11-05,0.0,中間系,26.1865,0.2899668202764976,0.24139170506912574,0.08997235023041535,0.24139170506912372
7,8,2022,2022-11-04,0.0,中間系,26.1865,0.07084239631336331,0.0,0.0,0.0
7,8,2023,2023-11-20,0.0,中間系,26.1865,0.23327096774193581,0.26279262672811143,0.037115207373271834,0.2627926267281079
7,8,2024,2024-10-18,30.0,中間系,26.1865,4.515002764976955,2.7539723502304234,1.6869124423963184,2.9254009216589787
9,1,2020,2020-11-22,0.0,閉鎖系,24.941528,,,,
9,1,2021,2021-11-06,0.0,閉鎖系,24.941528,0.028955069124423614,0.04610599078341033,0.0,0.04610599078341033
9,1,2022,2022-12-27,10.0,閉鎖系,24.941528,0.0,0.0,0.0,0.0
9,1,2023,2023-11-05,0.0,閉鎖系,24.941528,0.0,0.08455069124423938,0.0,0.08455069124423938
9,1,2024,2024-12-01,70.0,閉鎖系,24.941528,0.0,0.008052995391704851,0.0,0.008052995391704851
9,3,2020,2020-09-19,,外洋系,24.9005,0.3317315668202743,0.17147465437787293,0.17147465437787293,0.6420506912442383
9,3,2021,2022-01-15,0.0,外洋系,24.9005,0.0,0.0,0.0,0.0
9,3,2022,2023-01-11,90.0,外洋系,24.9005,0.0,0.0,0.0,0.0
9,3,2023,2023-11-23,0.0,外洋系,24.9005,0.0,0.0,0.0,0.0
9,3,2024,2024-12-02,60.0,外洋系,24.9005,0.0,0.0,0.0,0.0
9,5,2020,2020-10-04,10.0,外洋系,24.797806,0.6738184331797241,0.852479262672804,0.7706635944700412,1.3667649769585293
9,5,2021,2021-12-29,0.0,外洋系,24.797806,0.0,0.0,0.0,0.0
9,5,2022,2023-01-10,,外洋系,24.797806,0.0,0.0,0.0,0.0
9,5,2023,2024-01-06,0.0,外洋系,24.797806,0.0,0.0,0.0,0.0
9,5,2024,2025-01-19,60.0,外洋系,24.797806,0.0,0.0,0.0,0.0
9,6,2020,2020-10-04,0.0,外洋系,24.719444,0.7525023041474783,0.9426820276497827,0.6990322580645228,1.371253456221223
9,6,2021,2021-12-29,0.0,外洋系,24.719444,0.0,0.0,0.0,0.0
9,6,2022,2023-01-10,,外洋系,24.719444,0.0,0.0,0.0,0.0
9,6,2023,2024-01-06,0.0,外洋系,24.719444,0.0,0.0,0.0,0.0
9,6,2024,2025-01-19,70.0,外洋系,24.719444,0.0,0.0,0.0,0.0
9,9,2020,2020-09-19,,外洋系,24.841083,0.9921474654377863,0.5215207373271937,0.46775729646697634,0.8215207373271944
9,9,2022,2022-12-27,40.0,外洋系,24.841083,,,,
9,9,2023,2023-11-05,0.0,外洋系,24.841083,0.0,0.0,0.0,0.0
9,9,2024,2024-12-01,,外洋系,24.841083,0.0,0.0,0.0,0.0
10,2,2020,2020-11-22,0.0,外洋系,25.016917,0.0,0.0,0.0,0.0
10,2,2021,2021-10-16,0.0,外洋系,25.016917,0.03905069124423883,0.10751152073732786,0.04101382488479288,0.15036866359447082
10,2,2022,2022-12-28,20.0,外洋系,25.016917,0.0,0.0,0.0,0.0
10,2,2023,2023-11-23,0.0,外洋系,25.016917,0.0,0.0,0.0,0.0
10,2,2024,2024-12-02,50.0,外洋系,25.016917,0.0,0.0,0.0,0.0
10,3,2020,2020-11-22,0.0,外洋系,24.996944,0.0,0.0,0.0,0.0
10,3,2021,2021-10-16,0.0,外洋系,24.996944,0.0,0.019585253456221658,0.019585253456221658,0.062442396313364616
10,3,2022,2022-12-28,,外洋系,24.996944,0.0,0.0,0.0,0.0
10,3,2023,2023-11-23,0.0,外洋系,24.996944,,,,
10,3,2024,2024-12-02,90.0,外洋系,24.996944,0.0,0.0038709677419360234,0.0,0.0038709677419360234
11,19,2020,2020-11-22,0.0,閉鎖系,24.515917,0.0,0.0,0.0,0.0
11,19,2021,2021-09-24,0.0,閉鎖系,24.515917,0.8566138248848009,0.39013824884792314,1.0449677419354788,1.5901382488479296
11,19,2022,2022-11-12,,閉鎖系,24.515917,0.0,0.0,0.0,0.0
11,19,2023,2023-09-07,0.0,閉鎖系,24.515917,0.576843317972358,0.7164884792626692,1.7281658986175046,2.5164884792626787
11,19,2024,2025-01-07,,閉鎖系,24.515917,0.0,0.0,0.0,0.0
12,3,2020,2020-11-06,0.0,閉鎖系,24.583722,0.0,0.09350230414746415,0.2013824884792612,0.2935023041474639
12,3,2021,2021-09-08,0.0,閉鎖系,24.583722,0.16559170506912427,0.22124423963133313,0.611981566820272,0.9212442396313324
12,3,2022,2022-10-09,60.0,閉鎖系,24.583722,2.081805529953914,1.91525345622119,2.990276497695841,3.815253456221188
12,3,2023,2023-11-22,0.0,閉鎖系,24.583722,0.0,0.0,0.0,0.0
12,3,2024,2025-01-05,0.0,閉鎖系,24.583722,0.0,0.0,0.0,0.0
12,23,2020,2020-11-15,0.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0
12,23,2021,2021-09-09,0.0,閉鎖系,24.47275,0.5982983870967732,0.09214285714285607,0.4342857142857116,0.6914285714285724
12,23,2022,2022-11-10,5.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0
12,23,2023,2023-10-16,0.0,閉鎖系,24.47275,,,,
12,23,2024,2024-12-06,0.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0
12,40,2020,2020-12-17,0.0,閉鎖系,24.327889,,,,
12,40,2021,2021-09-01,0.0,閉鎖系,24.327889,0.2524447004608292,0.18228110599078207,0.46799539170506677,0.6822811059907841
12,40,2022,2022-11-09,10.0,閉鎖系,24.327889,0.0,0.0,0.0,0.0
12,40,2023,2023-09-14,0.0,閉鎖系,24.327889,0.4648041474654378,0.31633640552995146,0.8802764976958473,1.3088479262672819
12,40,2024,2024-10-17,5.0,閉鎖系,24.327889,1.9452373271889378,1.679516129032248,3.3366589861750993,4.5795161290322595
13,42,2020,2020-11-13,52.5,外洋系,24.342278,0.0,0.0,0.0,0.023605990783410493
13,42,2021,2021-11-14,80.0,外洋系,24.342278,,,,
13,42,2022,2022-10-24,92.5,外洋系,24.342278,0.2466336405529955,0.42585253456221245,0.42585253456221245,0.5972811059907842
13,42,2023,2023-11-14,47.5,外洋系,24.342278,0.0,0.0,0.0,0.09367511520737384
13,42,2024,2024-11-19,82.5,外洋系,24.342278,0.0,0.0,0.0,0.0
13,64,2020,2020-11-06,20.5,外洋系,24.348278,0.0,0.005771889400921485,0.005771889400921485,0.0886866359447005
13,64,2021,2021-10-29,42.5,外洋系,24.348278,,,,
13,64,2022,2022-10-23,90.0,外洋系,24.348278,0.27552764976958394,0.4317165898617503,0.4317165898617503,0.6460023041474651
13,64,2023,2023-11-06,25.0,外洋系,24.348278,0.0,0.0,0.0,0.0
13,64,2024,2024-10-27,100.0,外洋系,24.348278,1.1530161290322536,0.6194354838709663,0.6194354838709663,1.3352649769585254
13,72,2020,2020-10-28,25.0,外洋系,24.369806,0.03982718894009401,0.0,0.0,0.05541474654377814
13,72,2021,2021-10-31,24.0,外洋系,24.369806,,,,
13,72,2022,2022-10-22,80.0,外洋系,24.369806,0.6916094470046151,0.7619585253456204,0.7619585253456204,1.019101382488478
13,72,2023,2023-11-05,22.5,外洋系,24.369806,0.003985023041475395,0.0,0.0,0.0
13,72,2024,2024-10-17,82.5,外洋系,24.369806,1.9235357142857445,0.9772695852534484,0.9772695852534484,2.022684331797229
14,77,2020,2020-11-16,72.5,閉鎖系,24.291417,0.0,0.0,0.0,0.0
14,77,2021,2021-11-03,76.5,閉鎖系,24.291417,,,,
14,77,2022,2022-10-25,87.5,閉鎖系,24.291417,0.24203341013824797,0.3741820276497698,0.5456105990783406,0.6741820276497695
14,77,2023,2023-11-12,77.5,閉鎖系,24.291417,0.0,0.0,0.09132488479262589,0.21989631336405477
14,77,2024,2024-11-03,87.5,閉鎖系,24.291417,0.6336797235023016,0.10846774193548317,0.5782258064516098,1.0067972350230394
14,82,2020,2020-11-12,40.0,閉鎖系,24.252139,0.0,0.0,0.0,0.0
14,82,2021,2021-11-01,54.0,閉鎖系,24.252139,,,,
14,82,2022,2022-10-25,92.5,閉鎖系,24.252139,0.3156866359447008,0.37148617511520704,0.5791244239631322,0.7505529953917041
14,82,2023,2023-11-12,47.5,閉鎖系,24.252139,0.0,0.01670506912442349,0.13099078341013737,0.21670506912442328
14,82,2024,2024-11-21,99.0,閉鎖系,24.252139,0.0,0.0,0.0,0.0
15,22,2020,2020-11-08,63.5,外洋系,24.301194,0.0,0.0015207373271890795,0.0015207373271890795,0.15465437788018477
15,22,2021,2021-10-30,72.5,外洋系,24.301194,,,,
15,22,2022,2022-10-24,92.5,外洋系,24.301194,0.25712442396313356,0.40608294930875694,0.40608294930875694,0.5775115207373288
15,22,2023,2023-11-11,40.0,外洋系,24.301194,0.0,0.0,0.0,0.11322580645161397
15,22,2024,2024-11-19,87.5,外洋系,24.301194,0.0,0.0,0.0,0.0
15,104,2020,2020-10-31,50.5,外洋系,24.263861,0.006226958525345542,0.04714285714285639,0.04714285714285639,0.21857142857142822
15,104,2021,2021-10-27,81.5,外洋系,24.263861,,,,
15,104,2022,2022-11-15,92.5,外洋系,24.263861,0.0,0.0,0.0,0.0
15,104,2023,2023-11-09,60.0,外洋系,24.263861,0.0,0.0,0.0,0.0
15,104,2024,2024-10-28,95.0,外洋系,24.263861,1.5119677419354798,0.5399999999999971,0.5399999999999971,1.1714285714285697
16,95,2020,2020-10-26,74.5,外洋系,24.211111,0.0,0.032534562211981415,0.032534562211981415,0.2594930875576037
16,95,2021,2021-10-25,69.0,外洋系,24.211111,,,,
16,95,2022,2022-11-06,72.5,外洋系,24.211111,0.0,0.0,0.0,0.0
16,95,2023,2023-10-27,30.0,外洋系,24.211111,0.023016129032258043,0.0,0.0,0.0
16,95,2024,2024-10-21,97.5,外洋系,24.211111,1.8196382488479266,1.2254377880184282,1.2254377880184282,2.211152073732716
17,126,2020,2020-10-29,30.0,外洋系,24.439778,0.04165437788018421,0.07622119815668274,0.07622119815668274,0.16193548387096865
17,126,2021,2021-11-04,21.5,外洋系,24.439778,,,,
17,126,2022,2022-11-09,90.0,外洋系,24.439778,0.0,0.0,0.0,0.0
17,126,2023,2023-11-04,32.5,外洋系,24.439778,0.0,0.0,0.0,0.0
17,126,2024,2024-10-18,92.5,外洋系,24.439778,1.1952119815668207,0.8683410138248904,0.8683410138248904,1.6705299539170595
17,131,2020,2020-11-07,40.0,外洋系,24.323056,0.14236098310291773,0.1411059907834102,0.1411059907834102,0.3542396313364061
17,131,2021,2021-11-07,75.0,外洋系,24.323056,,,,
17,131,2022,2022-11-08,100.0,外洋系,24.323056,,,,
17,131,2023,2023-10-25,20.0,外洋系,24.323056,0.0,0.0,0.0,0.0
17,131,2024,2024-10-15,100.0,外洋系,24.323056,2.367314900153606,1.1609677419354847,1.1609677419354847,1.975253456221201
18,4,2020,2020-11-12,10.0,閉鎖系,27.10675,3.4629847619047673,2.5118285714285564,1.6486857142857028,2.6118285714285565
18,4,2021,2022-01-18,,閉鎖系,27.10675,0.0,0.0,0.0,0.0
18,4,2022,2022-12-14,,閉鎖系,27.10675,0.022013333333333662,0.0,0.0,0.0
18,4,2023,2023-12-21,,閉鎖系,27.10675,0.0,0.0,0.0,0.0
18,4,2024,2024-12-24,,閉鎖系,27.10675,0.0,0.0,0.0,0.0
18,7,2020,2020-12-23,,閉鎖系,27.055272,0.0,0.0,0.0,0.0
18,7,2021,2022-01-18,,閉鎖系,27.055272,0.0,0.0,0.0,0.0
18,7,2022,2022-12-14,,閉鎖系,27.055272,0.0,0.0,0.0,0.0
18,7,2023,2023-12-21,,閉鎖系,27.055272,0.0,0.0,0.0,0.0
18,7,2024,2024-12-25,,閉鎖系,27.055272,,,,
19,1,2020,2020-10-26,0.0,その他,34.983333,3.372685714285712,1.2964792626728143,0.6765622119815683,1.2964792626728143
19,1,2022,2022-11-25,0.0,その他,34.983333,0.011148571428571128,0.0,0.0,0.0
19,1,2023,2023-11-21,0.0,その他,34.983333,0.6114799999999992,0.0,0.0,0.0
19,1,2024,2024-10-24,0.0,その他,34.983333,4.932131428571428,3.55665437788019,2.355308755760371,3.55665437788019
20,9,2022,2022-09-23,0.0,閉鎖系,34.4,0.8509896313364099,0.5490092165898608,0.07490783410138135,0.5490092165898608
20,9,2023,2023-10-25,10.0,閉鎖系,34.4,,,,
20,9,2024,2024-10-01,90.0,閉鎖系,34.4,8.851081797235038,9.519562211981565,9.005276497695844,11.019562211981563
20,14,2022,2022-09-29,0.5,その他,32.866667,2.249662442396311,1.459781105990786,0.4344124423963131,1.4597811059907724
20,14,2023,2023-10-21,0.0,その他,32.866667,,,,
20,14,2024,2024-09-27,,その他,32.866667,5.200550691244236,4.895622119815674,3.284539170506914,4.938479262672795
21,11,2020,2021-01-09,,外洋系,33.480556,0.0,0.0,0.0,0.0
21,11,2021,2021-12-15,0.0,外洋系,33.480556,0.0,0.0,0.0,0.0
21,11,2022,2022-12-11,,外洋系,33.480556,0.0,0.0,0.0,0.0
21,11,2023,2023-11-20,0.0,外洋系,33.480556,0.0,0.0,0.0,0.0
21,11,2024,2024-12-28,,外洋系,33.480556,0.0,0.0,0.0,0.0
21,13,2020,2020-11-28,0.0,外洋系,33.484042,0.0,0.0,0.0,0.0
21,13,2021,2021-12-11,0.0,外洋系,33.484042,0.0,0.0,0.0,0.0
21,13,2022,2022-12-10,,外洋系,33.484042,0.0,0.0,0.0,0.0
21,13,2023,2023-12-02,0.0,外洋系,33.484042,0.0,0.0,0.0,0.0
21,13,2024,2024-09-26,25.0,外洋系,33.484042,6.988084792626728,5.264838709677439,3.160073732718908,5.264838709677414
22,1,2020,2020-10-20,,その他,33.043639,3.137394009216584,1.652096774193551,1.1806682027649786,1.652096774193551
22,1,2021,2021-10-19,0.0,その他,33.043639,0.04918663594469968,0.1041474654377882,0.01850230414746536,0.1041474654377882
22,1,2022,2022-10-20,0.0,その他,33.043639,1.86772350230414,1.296175115207377,0.8507373271889423,1.296175115207377
22,1,2023,2023-11-01,,その他,33.043639,0.6704055299539127,0.0070737327188941735,0.0,0.0070737327188941735
22,1,2024,2024-10-16,30.0,その他,33.043639,,,,
22,6,2020,2021-01-11,0.0,その他,32.824611,0.0,0.0,0.0,0.0
22,6,2021,2021-11-18,0.0,その他,32.824611,0.0,0.0,0.0,0.0
22,6,2022,2022-12-27,0.0,その他,32.824611,0.0,0.0,0.0,0.0
22,6,2023,2023-10-24,0.0,その他,32.824611,0.8017592165898628,0.0063364055299532296,0.0,0.0063364055299532296
22,6,2024,2024-09-04,50.0,その他,32.824611,4.233252304147465,5.0437557603686605,4.158041474654374,5.229470046082947
22,11,2020,2020-12-02,,その他,32.776528,0.0,0.0,0.0,0.0
22,11,2021,2021-10-18,,その他,32.776528,,,,
22,11,2022,2022-11-11,,その他,32.776528,0.10036866359447062,0.0,0.0,0.0
22,11,2023,2023-11-02,,その他,32.776528,1.0087557603686668,0.0,0.0,0.0
22,11,2024,2024-10-01,80.0,その他,32.776528,7.2948986175115325,4.5520737327188785,3.0791705069124267,4.623502304147451
24,3,2020,2020-11-05,5.0,その他,32.344694,0.0,0.0,0.0,0.0
24,3,2021,2021-10-15,0.0,その他,32.344694,0.0,0.0,0.0,0.0
24,3,2022,2022-10-20,0.0,その他,32.344694,,,,
24,3,2023,2023-11-21,2.5,その他,32.344694,,,,
24,3,2024,2024-10-21,15.0,その他,32.344694,4.9855852534562235,3.098617511520744,2.26228878648234,3.155760368663602
24,7,2020,2020-10-21,5.0,その他,32.186778,1.5601981566820295,1.139447004608295,0.7965898617511513,1.139447004608291
24,7,2021,2021-10-08,5.0,その他,32.186778,0.0,0.00993087557603697,0.0,0.009930875576036462
24,7,2022,2022-10-27,5.0,その他,32.186778,,,,
24,7,2023,2023-09-22,5.0,その他,32.186778,1.982186635944704,1.2314055299539146,0.5191013824884766,1.231405529953904
24,7,2024,2024-09-25,5.0,その他,32.186778,5.842566820276502,5.7585253456221155,4.085737327188933,5.8442396313363805
